time,position_1,velocity_1,acceleration_1,jerk_1,position_2,velocity_2,acceleration_2,jerk_2
1.87,0.689947,0.730102,0.095316,-0.726978,0.445004,-0.221979,-0.301865,0.2739
1.88,0.697253,0.731019,0.0880392,-0.728359,0.442769,-0.224984,-0.299078,0.283597
1.89,0.704567,0.731863,0.0807492,-0.729629,0.440505,-0.22796,-0.296194,0.293138
1.9,0.71189,0.732634,0.073447,-0.730788,0.43821,-0.230907,-0.293215,0.302524
1.91,0.71922,0.733332,0.0661338,-0.731838,0.435887,-0.233824,-0.290144,0.311755
1.92,0.726556,0.733956,0.0588106,-0.732776,0.433534,-0.23671,-0.286981,0.32083
1.93,0.733898,0.734508,0.0514786,-0.733605,0.431153,-0.239563,-0.283728,0.329751
1.94,0.741246,0.734986,0.0441389,-0.734323,0.428743,-0.242384,-0.280386,0.338516
1.95,0.748598,0.735391,0.0367925,-0.73493,0.426305,-0.245171,-0.276958,0.347127
1.96,0.755954,0.735722,0.0294407,-0.735427,0.423839,-0.247923,-0.273444,0.355582
1.97,0.763312,0.735979,0.0220844,-0.735814,0.421347,-0.250639,-0.269847,0.363882
1.98,0.770673,0.736164,0.0147247,-0.73609,0.418827,-0.253319,-0.266167,0.372027
1.99,0.778035,0.736274,0.00736292,-0.736256,0.41628,-0.255962,-0.262407,0.380016
2,0.785398,0.736311,-1.11022e-15,-0.736311,0.413708,-0.258567,-0.258567,0.387851
2.01,0.792761,0.736274,-0.00736292,-0.736256,0.411109,-0.261133,-0.25465,0.39553
2.02,0.800123,0.736164,-0.0147247,-0.73609,0.408485,-0.26366,-0.250657,0.403055
2.03,0.807484,0.735979,-0.0220844,-0.735814,0.405836,-0.266146,-0.24659,0.410424
2.04,0.814843,0.735722,-0.0294407,-0.735427,0.403162,-0.268592,-0.242449,0.417638
2.05,0.822198,0.735391,-0.0367925,-0.73493,0.400464,-0.270995,-0.238237,0.424697
2.06,0.82955,0.734986,-0.0441389,-0.734323,0.397743,-0.273356,-0.233956,0.431601
2.07,0.836898,0.734508,-0.0514786,-0.733605,0.394997,-0.275674,-0.229606,0.438349
2.08,0.84424,0.733956,-0.0588106,-0.732776,0.392229,-0.277948,-0.225189,0.444943
2.09,0.851577,0.733332,-0.0661338,-0.731838,0.389439,-0.280178,-0.220708,0.451381
